EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
0	152280	148103	145829	143172	140400	137523	134907	132833	129980	128274	126097	123041	120912	118990	119014	121377	125092	128381	129095	128410	126306	124417	125091	127284	124691	118454	115998	117153	119594	121002	121174	120765	120103	119260	118265	117143	115923	114629	113282	112784	111680	110569	109476	108430	107458	106576	105795	105122	104562	104117	103776	103514	103303	103115	102932	102742	102537	102314	102066																																																												
1	155791	151787	147646	145402	142776	140032	137184	134593	132543	129714	128029	125872	122914	120808	118930	118981	121378	125088	128380	129177	128538	126251	124404	125108	127389	125122	119405	116945	118048	119920	121034	121143	120723	120058	119216	118223	117103	115885	114593	113248	112752	111650	110540	109449	108405	107435	106554	105774	105102	104544	104100	103759	103499	103289	103102	102919	102730	102526	102303																																																												
2	153290	155627	151636	147505	145270	142650	139915	137074	134491	132447	129626	127947	125877	122934	120865	119009	119093	121483	125193	128563	129399	128589	126343	124528	125331	127984	126154	120660	118138	118541	120051	121086	121178	120754	120088	119247	118254	117135	115918	114627	113282	112786	111685	110576	109485	108442	107472	106592	105813	105141	104583	104139	103799	103539	103329	103142	102960	102771	102567																																																												
3	151135	153190	155530	151545	147420	145189	142575	139844	137008	134429	132389	129572	127975	125919	123010	120962	119138	119215	121605	125390	128797	129470	128700	126485	124776	125969	128998	127519	121958	118679	118692	120117	121134	121221	120796	120131	119289	118296	117178	115961	114671	113327	112831	111731	110622	109531	108489	107519	106639	105860	105189	104631	104188	103848	103588	103378	103192	103010	102820																																																												
4	143452	151062	153120	155464	151486	147368	145142	142533	139806	136974	134400	132365	129607	128022	125998	123110	121092	119260	119337	121800	125620	128870	129583	128843	126731	125400	126940	130336	128790	122490	118831	118760	120167	121180	121266	120840	120175	119334	118342	117224	116007	114717	113373	112878	111778	110669	109580	108537	107568	106688	105910	105238	104681	104238	103898	103638	103429	103242	103060																																																												
5	137764	143397	151007	153069	155417	151445	147333	145112	142506	139783	136955	134387	132402	129655	128100	126095	123235	121211	119380	119525	122021	125695	128983	129724	129082	127336	126337	128232	131563	129305	122637	118898	118811	120212	121223	121310	120884	120220	119379	118387	117270	116053	114764	113420	112925	111825	110717	109628	108585	107616	106737	105959	105287	104730	104287	103948	103688	103479	103292																																																												
6	134262	137716	143351	150963	153030	155382	151416	147310	145092	142490	139772	136951	134425	132449	129732	128194	126216	123350	121326	119561	119739	122094	125804	129118	129953	129662	128247	127583	129415	132059	129446	122702	118947	118856	120256	121267	121354	120927	120263	119422	118431	117314	116098	114808	113465	112971	111871	110763	109674	108632	107663	106784	106006	105335	104777	104335	103996	103736	103527																																																												
7	132932	134218	137676	143312	150928	153001	155357	151397	147294	145081	142484	139773	136989	134473	132525	129825	128313	126328	123462	121503	119769	119808	122198	125933	129335	130502	130538	129430	128708	129887	132194	129507	122749	118990	118897	120297	121308	121395	120969	120305	119465	118474	117357	116141	114852	113509	113015	111915	110808	109719	108677	107708	106830	106051	105381	104824	104381	104042	103783																																																												
8	133164	132890	134180	137641	143282	150902	152980	155339	151384	147287	145078	142489	139810	137036	134547	132616	129940	128423	126438	123635	121706	119835	119907	122320	126137	129851	131350	131668	130504	129159	130016	132252	129550	122789	119030	118936	120336	121347	121435	121008	120345	119505	118514	117398	116182	114893	113551	113057	111957	110850	109761	108720	107751	106873	106095	105424	104867	104425	104086																																																												
9	133636	133123	132854	134148	137614	143260	150883	152966	155328	151378	147286	145086	142525	139855	137107	134633	132728	130047	128529	126605	123831	121769	119928	120023	122516	126632	130677	132409	132674	130926	129279	130070	132292	129586	122825	119066	118972	120373	121384	121472	121045	120382	119542	118552	117436	116220	114932	113590	113096	111997	110889	109801	108759	107791	106913	106135	105464	104908	104465																																																												
10	133049	133596	133087	132823	134123	137595	143244	150871	152956	155322	151378	147295	145117	142565	139921	137189	134740	132828	130147	128688	126792	123890	121857	120038	120210	122988	127425	131681	133363	133073	131038	129329	130107	132326	129619	122859	119100	119006	120406	121418	121505	121079	120416	119577	118586	117471	116256	114967	113625	113132	112033	110926	109837	108796	107828	106950	106172	105502	104945																																																												
11	130940	133008	133560	133057	132799	134105	137581	143235	150862	152951	155320	151386	147321	145153	142626	139998	137288	134834	132923	130298	128867	126845	123971	121960	120215	120659	123749	128369	132577	133736	133177	131084	129362	130136	132354	129648	122889	119130	119037	120437	121448	121536	121111	120448	119609	118619	117503	116288	115000	113659	113165	112066	110960	109871	108831	107863	106985	106207	105537																																																												
12	128867	130899	132971	133527	133030	132780	134091	137571	143226	150854	152948	155325	151408	147353	145210	142698	140093	137377	134925	133070	130473	128915	126921	124067	122128	120649	121379	124676	129249	132942	133836	133219	131113	129389	130162	132379	129674	122916	119158	119065	120465	121476	121565	121139	120477	119638	118648	117533	116319	115031	113689	113196	112098	110991	109903	108863	107895	107017	106240																																																												
