EDAD	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050																																																												
0	146756	142721	140522	137949	135266	132483	129951	127943	125184	123530	121422	118468	116421	114568	114593	116868	120444	123609	124294	123636	121610	119774	120419	122525	120018	113971	111662	112774	115134	116483	116645	116250	115612	114800	113841	112761	111585	110339	109041	108562	107499	106428	105375	104369	103432	102583	101830	101181	100642	100213	99884	99631	99427	99246	99069	98885	98688	98472	98233																																																												
1	150218	146365	142358	140185	137636	134977	132217	129707	127717	124977	123339	121248	118387	116358	114546	114593	116899	120467	123632	124398	123781	121588	119791	120463	122644	120409	114833	112568	113670	115460	116515	116614	116207	115567	114756	113799	112721	111548	110304	109009	108530	107469	106400	105349	104344	103409	102561	101810	101162	100624	100196	99868	99617	99414	99233	99057	98874	98677	98462																																																												
2	147866	150096	146253	142253	140085	137541	134888	132133	129627	127641	124907	123273	121267	118420	116426	114635	114713	117012	120579	123819	124624	123862	121712	119947	120710	123219	121379	116033	113756	114157	115585	116562	116644	116234	115592	114782	113826	112749	111576	110333	109038	108560	107500	106432	105382	104377	103443	102595	101844	101197	100659	100232	99904	99653	99450	99270	99094	98911	98715																																																												
3	145832	147788	150020	146181	142185	140021	137479	134829	132077	129573	127590	124858	123308	121314	118502	116529	114769	114840	117138	120781	124058	124731	124015	121899	120232	121349	124211	122689	117331	114298	114308	115651	116610	116687	116276	115635	114824	113868	112791	111620	110377	109083	108605	107545	106477	105427	104423	103489	102642	101892	101245	100707	100280	99952	99702	99499	99319	99143	98960																																																												
4	138486	145780	147739	149974	146139	142148	139988	137450	134803	132053	129554	127575	124902	123363	121402	118610	116668	114901	114972	117345	121022	124170	124887	124203	122183	120864	122315	125499	123963	117865	114451	114378	115703	116657	116734	116321	115681	114870	113915	112838	111667	110424	109131	108653	107594	106526	105477	104473	103539	102692	101942	101295	100758	100331	100003	99753	99550	99370	99195																																																												
5	133041	138446	145741	147703	149941	146112	142126	139970	137433	134790	132044	129550	127622	124961	123454	121512	118749	116799	115032	115176	117583	121133	124323	125070	124479	122793	121790	123557	126728	124478	118014	114520	114430	115750	116702	116779	116367	115727	114916	113961	112885	111714	110472	109179	108702	107642	106575	105526	104522	103588	102742	101992	101345	100808	100381	100054	99803	99601	99421																																																												
6	129701	133006	138413	145710	147676	149918	146095	142114	139959	137426	134787	132047	129598	127681	125051	123562	121649	118879	116929	115232	115411	117692	121282	124502	125337	125069	123690	122989	124743	127227	124622	118081	114571	114477	115795	116747	116824	116412	115772	114962	114007	112931	111760	110518	109225	108748	107689	106622	105573	104569	103636	102790	102040	101393	100856	100430	100103	99852	99650																																																												
7	128455	129671	132978	138387	145688	147658	149906	146087	142110	139959	137430	134798	132096	129658	127770	125158	123696	121775	119006	117124	115460	115516	117835	121452	124756	125897	125938	124829	124117	125216	127363	124685	118129	114615	114520	115838	116790	116867	116455	115815	115005	114051	112975	111805	110563	109270	108793	107734	106668	105619	104616	103682	102836	102086	101440	100903	100477	100150	99899																																																												
8	128726	128427	129646	132957	138371	145676	147651	149903	146088	142114	139968	137445	134847	132154	129744	127873	125287	123818	121897	119193	117342	115561	115652	117998	121694	125290	126733	127025	125904	124568	125346	127422	124729	118170	114656	114559	115878	116830	116907	116495	115856	115046	114092	113017	111846	110605	109312	108836	107777	106710	105662	104659	103726	102879	102130	101484	100947	100521	100194																																																												
9	129231	128701	128406	129629	132945	138364	145673	147652	149906	146094	142127	139987	137491	134903	132237	129843	127996	125403	123933	122074	119401	117434	115687	115804	118224	122193	126071	127750	128031	126325	124688	125400	127463	124765	118206	114692	114596	115915	116867	116944	116532	115893	115084	114129	113055	111884	110643	109351	108875	107816	106750	105701	104698	103766	102920	102170	101524	100988	100561																																																												
10	128772	129207	128681	128392	129620	132942	138365	145677	147658	149915	146108	142148	140031	137543	134980	132329	129958	128104	125511	124100	122269	119487	117553	115829	116018	118697	122929	127035	128704	128430	126437	124737	125437	127495	124798	118240	114725	114629	115948	116900	116978	116566	115927	115118	114164	113089	111919	110679	109386	108910	107852	106786	105738	104735	103802	102957	102207	101562	101025																																																												
11	126873	128750	129189	128666	128383	129618	132945	138371	145684	147669	149928	146130	142187	140078	137615	135066	132437	130060	128206	125669	124285	122347	119596	117684	116028	116462	119410	123835	127931	129077	128533	126483	124770	125466	127523	124826	118269	114755	114659	115978	116931	117008	116597	115958	115149	114196	113121	111952	110711	109419	108943	107885	106819	105771	104769	103836	102991	102242	101596																																																												
12	125023	126850	128731	129174	128658	128381	129621	132951	138380	145694	147683	149950	146166	142231	140147	137697	135170	132535	130159	128360	125849	124360	122452	119723	117878	116463	117186	120301	124716	128297	129177	128576	126512	124797	125492	127549	124852	118296	114783	114687	116006	116959	117037	116625	115987	115179	114225	113151	111982	110742	109450	108974	107917	106851	105803	104801	103869	103023	102275																																																												
13	124423	124999	126831	128715	129164	128655	128383	129627	132959	138391	145708	147704	149984	146209	142299	140229	137801	135268	132632	130314	128542	125920	124460	122574	119911	118301	117195	118056	121162	125072	128391	129215	128602	126536	124821	125515	127571	124876	118321	114809	114713	116032	116985	117063	116652	116014	115206	114253	113179	112010	110770	109479	109003	107946	106880	105833	104831	103899	103054																																																												
14	124952	124396	124977	126813	128703	129159	128655	128389	129635	132970	138405	145729	147738	150026	146278	142383	140337	137902	135369	132793	130504	128609	126016	124576	122756	120326	119033	118054	118906	121512	125164	128426	129238	128622	126556	124841	125535	127592	124897	118344	114832	114737	116056	117009	117088	116677	116039	115231	114278	113205	112036	110797	109506	109031	107973	106908	105861	104859	103928																																																												
15	126274	124921	124370	124956	126798	128695	129158	128659	128396	129646	132985	138428	145766	147784	150097	146366	142497	140444	138009	135541	132996	130565	128699	126127	124750	123157	121075	119868	118879	119245	121598	125195	128446	129255	128638	126573	124859	125553	127610	124916	118364	114853	114758	116078	117030	117109	116699	116061	115254	114301	113229	112060	110821	109531	109056	107999	106934	105887	104886																																																												
16	127119	126239	124892	124347	124940	126789	128693	129161	128666	128407	129662	133010	138471	145817	147864	150194	146491	142615	140561	138196	135763	133059	130658	128815	126309	125174	124046	121959	120742	119238	119337	121632	125215	128463	129271	128654	126590	124876	125571	127627	124934	118384	114875	114780	116099	117052	117131	116721	116084	115277	114325	113253	112085	110846	109556	109081	108025	106960	105914																																																												
17	126895	127082	126207	124867	124329	124931	126787	128696	129167	128678	128425	129690	133063	138532	145910	147977	150337	146626	142750	140777	138450	135846	133180	130807	129047	126843	126386	125152	123053	121194	119357	119384	121663	125242	128488	129295	128679	126616	124903	125598	127655	124962	118414	114905	114811	116130	117083	117163	116753	116116	115310	114358	113286	112119	110881	109591	109117	108060	106996																																																												
18	124995	126856	127049	126181	124849	124321	124930	126792	128705	129180	128697	128456	129757	133142	138650	146049	148152	150500	146788	143007	141079	138578	136026	133399	131143	129804	128577	127945	126694	123695	121370	119432	119438	121711	125287	128533	129340	128724	126662	124950	125645	127702	125010	118464	114956	114862	116182	117135	117215	116805	116169	115363	114412	113340	112173	110935	109646	109172	108116																																																												
19	122570	124956	126822	127023	126163	124842	124322	124938	126803	128721	129203	128731	128542	129857	133289	138824	146264	148353	150699	147101	143375	141267	138839	136338	133871	132192	132131	130721	130066	127582	123946	121483	119516	119514	121785	125360	128604	129412	128796	126735	125024	125720	127776	125086	118541	115035	114941	116260	117214	117294	116885	116249	115443	114493	113421	112255	111018	109729	109255																																																												
20	120579	122531	124923	126795	127005	126156	124844	124331	124952	126822	128746	129241	128838	128667	130038	133502	139087	146509	148595	151073	147541	143620	141602	139240	136939	135198	135088	134836	133397	131190	127904	124095	121595	119619	119615	121884	125458	128702	129510	128895	126835	125125	125821	127877	125188	118645	115139	115046	116366	117319	117399	116991	116355	115550	114600	113529	112363	111126	109838																																																												
21	120067	120540	122498	124897	126778	126998	126159	124855	124347	124973	126850	128786	129366	128984	128877	130285	133807	139372	146791	149027	151578	147831	144017	142076	139947	138495	138537	138253	137967	134714	131570	128083	124230	121720	119741	119735	122004	125578	128822	129630	129016	126956	125247	125943	128000	125311	118770	115266	115173	116493	117446	117527	117118	116483	115679	114729	113659	112493	111257																																																												
22	120810	120028	120508	122472	124880	126771	127002	126170	124872	124369	125003	126893	128924	129527	129216	129150	130623	134124	139685	147268	149584	151914	148288	144562	142888	141730	142135	142161	141838	139477	135153	131777	128240	124375	121862	119883	119877	122145	125719	128963	129771	129157	127099	125390	126087	128143	125456	118916	115413	115321	116640	117594	117675	117267	116632	115828	114879	113809	112644																																																												
23	122482	120769	119995	120483	122457	124876	126776	127014	126188	124896	124401	125049	127040	129095	129773	129506	129510	130962	134460	140196	147861	149969	152434	148908	145485	144907	145550	146233	146213	143547	139976	135389	131958	128408	124539	122026	120046	120041	122309	125882	129126	129934	129321	127263	125556	126252	128309	125622	119085	115583	115491	116811	117764	117846	117438	116804	116000	115051	113982																																																												
24	123762	122440	120737	119971	120470	122454	124882	126789	127033	126213	124930	124450	125205	127220	129353	130076	129882	129864	131313	134995	140818	148296	150553	153128	149938	147740	148844	150123	150756	148122	144106	140242	135593	132147	128592	124724	122211	120233	120227	122495	126067	129310	130119	129507	127450	125744	126440	128496	125811	119276	115775	115683	117003	117957	118038	117631	116997	116194	115245																																																												
25	124199	123718	122406	120711	119957	120467	122460	124896	126808	127057	126246	124980	124610	125391	127487	129666	130464	130247	130228	131867	135639	141289	148928	151303	154238	152361	151736	153754	154980	152807	148724	144394	140463	135798	132347	128792	124925	122413	120435	120429	122697	126269	129512	130321	129709	127653	125948	126645	128701	126016	119483	115983	115892	117211	118165	118247	117840	117207	116404																																																												
26	123919	124152	123681	122377	120695	119953	120474	122474	124914	126831	127089	126296	125143	124800	125663	127806	130061	130836	130618	130792	132525	136130	141948	149705	152454	156745	156340	156816	158779	157102	153430	149022	144623	140674	136006	132554	129000	125134	122623	120645	120640	122908	126480	129722	130531	129920	127865	126160	126857	128913	126230	119698	116200	116109	117428	118382	118464	118058	117425																																																												
27	123216	123870	124113	123650	122357	120687	119957	120486	122491	124936	126862	127136	126456	125331	125071	125983	128200	130432	131205	131181	131449	133012	136784	142721	150846	154941	160577	161382	161803	160885	157719	153723	149246	144830	140878	136209	132758	129205	125341	122832	120854	120850	123117	126689	129931	130740	130130	128076	126372	127069	129125	126442	119912	116415	116324	117644	118598	118680	118274																																																												
28	122070	123164	123827	124079	123627	122346	120687	119965	120500	122510	124964	126905	127291	126637	125593	125380	126366	128562	130792	131754	131822	131917	133642	137530	143824	153250	158558	165450	166202	163835	161476	157998	153935	149442	145022	141070	136402	132953	129402	125539	123031	121055	121051	123318	126889	130130	130940	130330	128277	126574	127271	129327	126646	120118	116621	116531	117850	118805	118887																																																												
29	120355	122016	123119	123790	124052	123612	122342	120691	119976	120517	122535	125005	127050	127460	126885	125887	125746	126711	128904	131315	132366	132262	132512	134348	138576	146108	156615	163188	170028	168127	164390	161734	158193	154115	149619	145199	141248	136582	133135	129585	125724	123217	121242	121239	123506	127076	130317	131127	130518	128466	126763	127461	129517	126837	120310	116815	116725	118045	118999																																																												
30	118062	120298	121967	123078	123758	124032	123602	122341	120697	119988	120538	122572	125139	127207	127691	127159	126230	126069	127031	129397	131891	132776	132818	133173	135329	140729	149240	160982	167505	171838	168643	164626	161911	158356	154274	149779	145361	141411	136747	133301	129754	125895	123389	121415	121412	123679	127249	130489	131299	130691	128640	126938	127636	129692	127013	120488	116995	116905	118224																																																												
31	115430	118002	120247	121922	123043	123733	124017	123595	122340	120703	120003	120569	122694	125282	127420	127944	127477	126529	126367	127493	129936	132262	133280	133420	134073	137308	143617	153261	164955	169166	172304	168851	164780	162052	158495	154413	149919	145504	141556	136895	133450	129904	126047	123543	121570	121568	123834	127404	130644	131454	130846	128796	127096	127794	129849	127171	120649	117157	117067																																																												
32	112845	115369	117948	120198	121882	123012	123712	124002	123586	122339	120711	120027	120678	122824	125477	127652	128238	127752	126804	126797	127996	130265	132712	133818	134227	135859	139948	147261	156861	166453	169579	172480	168979	164897	162167	158610	154531	150038	145626	141680	137021	133579	130034	126179	123676	121705	121703	123969	127538	130778	131588	130981	128932	127233	127931	129986	127310	120790	117299																																																												
33	110742	112779	115309	117895	120152	121845	122983	123689	123985	123575	122336	120724	120121	120792	122999	125688	127919	128487	128000	127199	127262	128281	130659	133183	134533	135824	138285	143216	150490	158200	166813	169726	172581	169071	164988	162257	158703	154627	150137	145727	141783	137127	133687	130145	126292	123790	121820	121819	124085	127653	130892	131703	131096	129049	127350	128049	130104	127428	120911																																																												
34	108869	110669	112713	115248	117841	120106	121806	122950	123660	123962	123560	122336	120800	120216	120946	123185	125926	128141	128708	128358	127623	127513	128633	131082	133828	135987	138063	141275	146171	151710	158522	166937	169808	172651	169141	165059	162331	158779	154705	150219	145812	141870	137217	133779	130239	126388	123888	121919	121919	124184	127752	130990	131801	131196	129149	127452	128151	130205	127531																																																												
